epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
85,7025.24,0.94034,2.64174,0.26684,0.53657,0.02143,3.27038,0.97075,0.97181,0.99129,0.82459,0.93479,0.91744,0.93468,0.52647,0.74694,2.18034,0.34413,0.24335,0.024,0,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
86,7106.53,0.9362,2.62173,0.26734,0.52984,0.02122,3.17368,0.9636,0.97534,0.99144,0.82437,0.93309,0.9171,0.93751,0.52966,0.74439,2.1758,0.34327,0.24541,0.0239,0,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
87,7186.25,0.92583,2.61053,0.26517,0.53309,0.02109,3.14823,0.97341,0.96725,0.99088,0.8248,0.93628,0.91463,0.93574,0.53048,0.73977,2.16648,0.34274,0.24259,0.02374,0,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
88,7265.71,0.92381,2.57746,0.26519,0.52876,0.02108,3.16089,0.97573,0.96795,0.99151,0.82673,0.93852,0.91428,0.93768,0.53377,0.7399,2.16413,0.34329,0.23837,0.02377,0,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115
89,7348.89,0.92138,2.52651,0.26513,0.52206,0.02106,3.04191,0.97387,0.97123,0.99147,0.82751,0.94098,0.91744,0.93638,0.532,0.73633,2.15987,0.34392,0.23746,0.02363,0,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
90,7430.35,0.93183,2.58586,0.26395,0.52275,0.02114,3.09799,0.97045,0.97358,0.9913,0.8295,0.93949,0.92081,0.93941,0.53592,0.73088,2.158,0.3441,0.2404,0.02341,0,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264
91,7511.72,0.69216,1.47587,0.34714,0.25823,0.02221,3.32059,0.97024,0.97647,0.99099,0.83036,0.932,0.92132,0.93711,0.53309,0.72891,2.16968,0.34018,0.23907,0.02343,0,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
92,7593.01,0.68068,1.42558,0.34447,0.23531,0.02167,3.16944,0.96814,0.97064,0.99127,0.82797,0.93428,0.91822,0.93818,0.53459,0.73187,2.17278,0.33759,0.24504,0.02353,0,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546
93,7672.46,0.67156,1.40843,0.34426,0.22728,0.02134,3.12658,0.97047,0.97123,0.9914,0.82867,0.9347,0.9172,0.93804,0.536,0.73043,2.17538,0.33534,0.24222,0.02346,0,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513
94,7750.97,0.67185,1.40739,0.34116,0.22634,0.02126,3.11496,0.96934,0.97592,0.9915,0.82916,0.93442,0.92132,0.94015,0.53873,0.73208,2.17494,0.33343,0.24039,0.02351,0,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212
95,7833.81,0.65654,1.39197,0.34177,0.21958,0.02087,3.08945,0.96741,0.97608,0.9913,0.82984,0.93211,0.9219,0.94051,0.53854,0.72973,2.17471,0.33208,0.24146,0.02343,0,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678
96,7914.64,0.65687,1.37865,0.34107,0.22112,0.02085,3.06676,0.97463,0.96947,0.9914,0.83102,0.93716,0.91955,0.93998,0.53883,0.72937,2.17164,0.33107,0.24128,0.02342,0,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
97,7992.95,0.66404,1.38238,0.33977,0.21829,0.02108,3.05175,0.97501,0.96829,0.99144,0.8316,0.93501,0.9209,0.94082,0.54038,0.72958,2.17032,0.33044,0.24254,0.02343,0,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032
98,8073.93,0.64825,1.37646,0.34048,0.21879,0.02043,3.00907,0.97432,0.97005,0.99149,0.83226,0.93453,0.92014,0.9405,0.54141,0.72884,2.16917,0.32996,0.2414,0.02339,0,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968
99,8153.41,0.65257,1.3728,0.33897,0.21792,0.0207,3.02527,0.97459,0.96843,0.99144,0.83159,0.93702,0.91779,0.94184,0.54372,0.72735,2.168,0.32946,0.24208,0.02334,0,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768
100,8231.82,0.65675,1.36527,0.33942,0.21798,0.02089,3.02033,0.97053,0.96829,0.99126,0.83258,0.94229,0.91192,0.94406,0.54387,0.72451,2.16669,0.32914,0.24327,0.02322,0,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443
