epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
20,1683,1.22933,4.54039,0.32929,0.75239,0.02914,6.21733,0.95634,0.95302,0.98456,0.6862,0.8252,0.80329,0.77683,0.28328,1.13393,3.26818,0.38721,0.36556,0.03844,0,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
21,1761.48,1.22067,4.52986,0.32677,0.75122,0.02884,6.12403,0.93134,0.9677,0.98393,0.66158,0.81718,0.79742,0.78105,0.28733,1.23302,3.27475,0.38865,0.39197,0.04238,0,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
22,1842.45,1.22337,4.44731,0.32447,0.7507,0.029,6.06951,0.94036,0.96297,0.98398,0.65982,0.80488,0.81797,0.78784,0.30656,1.25582,3.20497,0.37562,0.38483,0.04275,0,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
23,1923.84,1.21222,4.40535,0.32293,0.74493,0.02857,5.96333,0.9381,0.9611,0.97965,0.6467,0.82444,0.81151,0.79035,0.28865,1.23638,3.22482,0.38573,0.3941,0.04355,0,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
24,2004.27,1.20378,4.36375,0.32262,0.72737,0.0283,5.91715,0.94048,0.97425,0.98393,0.65819,0.85938,0.82913,0.81945,0.31577,1.22906,3.08036,0.38347,0.37688,0.04218,0,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
25,2088.2,1.20996,4.27382,0.31925,0.71927,0.02853,5.76077,0.94415,0.95772,0.98247,0.61572,0.8295,0.83265,0.81236,0.33016,1.4068,3.11633,0.39478,0.42218,0.05006,0,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
26,2169.66,1.19637,4.31236,0.31871,0.72508,0.02828,5.82772,0.95436,0.9577,0.98425,0.70114,0.84083,0.8189,0.79823,0.31663,1.09935,3.12259,0.3793,0.35194,0.03744,0,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
27,2248.58,1.20759,4.23091,0.31628,0.70717,0.0284,5.64984,0.93756,0.97592,0.98619,0.67934,0.86471,0.84381,0.85178,0.35533,1.19449,2.99878,0.37718,0.36445,0.04107,0,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
28,2329.36,1.18612,4.21141,0.31635,0.7072,0.02765,5.64054,0.94849,0.95479,0.98492,0.64583,0.84294,0.82885,0.81561,0.33431,1.29437,3.01575,0.37893,0.39692,0.04503,0,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
29,2411.41,1.18115,4.14542,0.31224,0.71092,0.02771,5.54435,0.94013,0.96477,0.98398,0.67243,0.86088,0.84674,0.83717,0.34542,1.19724,2.95738,0.37367,0.3739,0.04097,0,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
30,2492.07,1.17583,4.08726,0.31122,0.69219,0.02753,5.49462,0.96423,0.95244,0.9851,0.70346,0.87508,0.84498,0.84795,0.36226,1.1237,2.93064,0.37711,0.34548,0.03791,0,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,2575.02,1.16873,4.04308,0.31058,0.70556,0.02744,5.45187,0.95043,0.95691,0.98476,0.68565,0.86964,0.85555,0.84826,0.36618,1.14561,2.86067,0.36916,0.36791,0.03906,0,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,2655.83,1.16676,4.03033,0.3086,0.68246,0.0274,5.38787,0.93727,0.9563,0.98428,0.68596,0.88315,0.84146,0.85564,0.37381,1.16259,2.84444,0.37775,0.36624,0.03963,0,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
