epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,816.085,1.0067,0.7645,0.0258,0.9702,0.97728,0.99291,0.79417,0.79765,0.27193,0.02971,0.0005941,0.0005941,0.0005941
43,835.459,0.97862,0.75321,0.02476,0.97364,0.98226,0.99336,0.79296,0.84613,0.26519,0.03171,0.0005842,0.0005842,0.0005842
44,854.64,0.99377,0.74267,0.02567,0.96913,0.9852,0.99275,0.81278,0.78287,0.24264,0.029,0.0005743,0.0005743,0.0005743
45,873.865,0.9898,0.73811,0.02531,0.97829,0.98377,0.99376,0.82037,0.7513,0.24203,0.02782,0.0005644,0.0005644,0.0005644
46,892.997,0.98435,0.75584,0.02516,0.97437,0.9809,0.9924,0.78231,0.86206,0.2718,0.03232,0.0005545,0.0005545,0.0005545
47,912.398,0.97031,0.73872,0.02492,0.9797,0.9874,0.99392,0.82043,0.76454,0.23702,0.02824,0.0005446,0.0005446,0.0005446
48,931.471,0.97786,0.71761,0.02493,0.98506,0.98363,0.99323,0.8247,0.73665,0.24666,0.02702,0.0005347,0.0005347,0.0005347
49,950.481,0.97897,0.73763,0.02513,0.97046,0.98606,0.99265,0.81661,0.76901,0.25736,0.02837,0.0005248,0.0005248,0.0005248
50,970.137,0.96821,0.72363,0.02476,0.9758,0.97544,0.99219,0.80387,0.79168,0.27885,0.02958,0.0005149,0.0005149,0.0005149
51,989.579,0.98267,0.73303,0.02512,0.98085,0.97802,0.99316,0.81017,0.78416,0.2492,0.02915,0.000505,0.000505,0.000505
52,1008.94,0.97069,0.69553,0.02503,0.96516,0.98254,0.99296,0.82126,0.75043,0.23976,0.02744,0.0004951,0.0004951,0.0004951
53,1028.19,0.9619,0.7172,0.02451,0.9824,0.9898,0.99412,0.83141,0.70801,0.22547,0.02582,0.0004852,0.0004852,0.0004852
54,1047.25,0.96292,0.71604,0.02447,0.98069,0.9702,0.99246,0.81963,0.73862,0.24905,0.02715,0.0004753,0.0004753,0.0004753
55,1066.29,0.95284,0.71628,0.02435,0.97317,0.98953,0.99348,0.81782,0.75593,0.24787,0.0281,0.0004654,0.0004654,0.0004654
56,1085.84,0.95146,0.70798,0.02424,0.9875,0.9699,0.99262,0.82036,0.74449,0.23468,0.02718,0.0004555,0.0004555,0.0004555
57,1104.75,0.94243,0.69744,0.02399,0.98088,0.97967,0.99351,0.83102,0.70717,0.22861,0.02582,0.0004456,0.0004456,0.0004456
58,1123.5,0.936,0.70418,0.02372,0.98241,0.99081,0.99391,0.84083,0.7096,0.21943,0.02577,0.0004357,0.0004357,0.0004357
59,1142.37,0.93714,0.693,0.02375,0.98938,0.98499,0.99392,0.83223,0.72336,0.22403,0.02647,0.0004258,0.0004258,0.0004258
60,1160.94,0.93382,0.67878,0.02375,0.98366,0.98562,0.99338,0.82924,0.74298,0.22387,0.02734,0.0004159,0.0004159,0.0004159
61,1179.21,0.93657,0.66242,0.02361,0.97962,0.99045,0.99425,0.82268,0.75723,0.22959,0.02794,0.000406,0.000406,0.000406
62,1197.89,0.93672,0.68847,0.02366,0.97833,0.98545,0.99411,0.8369,0.70625,0.22944,0.02561,0.0003961,0.0003961,0.0003961
63,1217.4,0.93241,0.68586,0.02361,0.97949,0.97738,0.99376,0.83355,0.72489,0.24037,0.0266,0.0003862,0.0003862,0.0003862
64,1236.38,0.92021,0.65597,0.02338,0.98435,0.98636,0.99425,0.84076,0.69771,0.22461,0.02537,0.0003763,0.0003763,0.0003763
65,1255.83,0.9234,0.66521,0.0233,0.986,0.99318,0.99444,0.83013,0.73429,0.22295,0.02704,0.0003664,0.0003664,0.0003664
66,1275.02,0.92066,0.67219,0.02348,0.98493,0.99318,0.99448,0.83687,0.70464,0.21735,0.02565,0.0003565,0.0003565,0.0003565
67,1293.78,0.91689,0.67905,0.02302,0.98196,0.99045,0.99393,0.84012,0.70611,0.22193,0.02577,0.0003466,0.0003466,0.0003466
68,1312.73,0.90581,0.67519,0.02297,0.98007,0.99045,0.99413,0.83611,0.715,0.22714,0.026,0.0003367,0.0003367,0.0003367
69,1332.05,0.90997,0.67146,0.02315,0.98911,0.99142,0.99439,0.83799,0.71853,0.21893,0.0264,0.0003268,0.0003268,0.0003268
70,1351.29,0.92718,0.66592,0.02349,0.98204,0.98909,0.99397,0.84549,0.70217,0.21784,0.02552,0.0003169,0.0003169,0.0003169
71,1370.44,0.90152,0.63765,0.02278,0.98433,0.98499,0.99417,0.84783,0.67397,0.22348,0.0244,0.000307,0.000307,0.000307
72,1389.83,0.91264,0.65625,0.02318,0.98643,0.99155,0.99457,0.84476,0.68926,0.21826,0.02507,0.0002971,0.0002971,0.0002971
73,1409.01,0.9143,0.64953,0.02327,0.9868,0.98909,0.99426,0.8476,0.67872,0.21026,0.02442,0.0002872,0.0002872,0.0002872
74,1428.53,0.91599,0.64818,0.02294,0.99035,0.98035,0.99426,0.84143,0.69297,0.22016,0.02511,0.0002773,0.0002773,0.0002773
75,1447.74,0.88918,0.65076,0.02242,0.98623,0.97716,0.99407,0.84501,0.6779,0.21962,0.02447,0.0002674,0.0002674,0.0002674
76,1467.22,0.89274,0.64965,0.02233,0.98766,0.98256,0.99452,0.84904,0.67621,0.20793,0.0244,0.0002575,0.0002575,0.0002575
77,1486.6,0.89206,0.63192,0.0224,0.9838,0.99454,0.99441,0.84359,0.69984,0.21016,0.02541,0.0002476,0.0002476,0.0002476
78,1505.88,0.8927,0.64778,0.02229,0.99059,0.98909,0.99451,0.85184,0.6678,0.20285,0.02398,0.0002377,0.0002377,0.0002377
79,1524.97,0.89367,0.64736,0.02281,0.9851,0.98909,0.99446,0.85124,0.6699,0.21148,0.02414,0.0002278,0.0002278,0.0002278
80,1544.04,0.87475,0.63123,0.02223,0.98766,0.99181,0.99455,0.84674,0.67864,0.21668,0.02445,0.0002179,0.0002179,0.0002179
81,1563.01,0.87917,0.63231,0.0221,0.9864,0.99181,0.99458,0.84489,0.66465,0.2141,0.02389,0.000208,0.000208,0.000208
82,1582,0.88015,0.63535,0.02209,0.98373,0.98979,0.99459,0.84927,0.67627,0.20705,0.02444,0.0001981,0.0001981,0.0001981
83,1601.48,0.87687,0.62524,0.02211,0.97551,0.99318,0.99441,0.8479,0.66531,0.21004,0.02394,0.0001882,0.0001882,0.0001882
84,1620.34,0.87691,0.63505,0.02185,0.98334,0.99045,0.99443,0.83994,0.68926,0.21115,0.02509,0.0001783,0.0001783,0.0001783
85,1638.88,0.86889,0.63352,0.0218,0.9864,0.98943,0.99463,0.85307,0.65449,0.19942,0.02347,0.0001684,0.0001684,0.0001684
86,1658.18,0.86989,0.6182,0.02177,0.98295,0.99591,0.99465,0.84735,0.68213,0.20332,0.0247,0.0001585,0.0001585,0.0001585
87,1677.54,0.87326,0.6091,0.02182,0.98628,0.99045,0.9946,0.85608,0.65958,0.20124,0.02377,0.0001486,0.0001486,0.0001486
88,1695.82,0.86108,0.61344,0.02151,0.98513,0.98772,0.9945,0.85365,0.6583,0.21006,0.02364,0.0001387,0.0001387,0.0001387
89,1714.82,0.87659,0.63431,0.02198,0.98766,0.98909,0.99453,0.85727,0.65889,0.20297,0.02366,0.0001288,0.0001288,0.0001288
90,1733.66,0.85736,0.62704,0.02144,0.98776,0.99076,0.99463,0.85636,0.66566,0.20558,0.02397,0.0001189,0.0001189,0.0001189
